what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1411532031975
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1411532031975
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1411532031976
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1411532031977
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1411532031978
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1411532031979
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1411532031980
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1411532031981
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1411532031981
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1411532031982
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1411532031983
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1411532031983
os,sysinfo,,,"win32",1411532031987
arch,sysinfo,,,"x86",1411532031987
ws,sysinfo,,,"win32",1411532031987
locale,sysinfo,,,"en_US",1411532031987
processors,sysinfo,,,"2",1411532031987
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1411532031987
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1411532031987
java.specification.name,sysinfo,,,"Java Platform API Specification",1411532031987
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1411532031987
java.specification.version,sysinfo,,,"1.6",1411532031987
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1411532031987
java.version,sysinfo,,,"1.6.0_23",1411532031987
java.vm.info,sysinfo,,,"mixed mode",1411532031987
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1411532031987
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1411532031987
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1411532031987
java.vm.specification.version,sysinfo,,,"1.0",1411532031987
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1411532031987
java.vm.version,sysinfo,,,"19.0-b09",1411532031987
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1411532033240
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411532049180
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1411532049678
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1411532049849
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1411532049854
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1411532050092
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1411532050414
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1411532050958
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1411532051023
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1411532051119
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1411532055088
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1411532055090
