what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411537537607
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411537541729
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1411537545753
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411537547776
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411537548124
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411537548373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411537551164
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411537566921
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411537570136
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411537602493
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1411537607017
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411537608067
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411537612294
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411537614361
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411537617049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411537618208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537621538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537629399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537633983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537635702
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1411537636215
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411537637161
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1411537639883
error,log,,,"Error",1411537641846
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.binaryEditor",1411537642430
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.binaryEditor",1411537643269
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1411537643408
error,log,,,"Error",1411537644490
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.binaryEditor",1411537644904
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.binaryEditor",1411537645459
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1411537645529
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.binaryEditor",1411537645734
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.binaryEditor",1411537647468
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.binaryEditor",1411537647468
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411537648385
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.binaryEditor",1411537648385
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411537655783
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411537657032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537659222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537661718
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1411537667218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537669111
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1411537669462
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537680238
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1411537681943
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1411537682915
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411537683693
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, /cygdrive/c/Users/Karen/Documents/GitHub/Group13Module1/Module1/software/Module1Code/Module1Code.elf] return code: 4, 'other error'",1411537705870
error,log,,,"Downloading ELF Process failed",1411537705884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537705951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537707413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537710915
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537720833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537723921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537726417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537737680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537737827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537738051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537742395
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1411537742485
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1411537742505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537742642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537744039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537746650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537748977
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1411537749714
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411537751563
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1411537751697
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411537752567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537765433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537765581
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1411537765591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537765701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537767839
error,log,,,"Error starting process.",1411537773307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537773881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537785381
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411537788219
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411537796236
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411537797494
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411537798922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411537800298
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411537801755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537808294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537808442
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1411537808454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537808559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537861249
error,log,,,"Error starting process.",1411537866692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537866715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411537873249
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411537910547
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411537912185
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411537937947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411537940927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411537942483
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411537953598
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411537956593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411537965521
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftLeft",1411537971321
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411537988399
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411537991059
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411538003051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411538023639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411538025033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411538028090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411538031119
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411538036914
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411538039101
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411538044695
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411538047299
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411538047607
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411538047865
